Local,Tipo,1991,2000,2010,2016,2017,2018,2019,2020,2021,2022
Brasil,Brasil,53.074711716326625,34.112461458775854,18.68022940984921,16.4,15.6,15.2,15.4,14.0,14.5,15.5
Acre,Estado,50.63,34.08,24.93,19.5,17.6,19.5,19.5,19.3,21.6,21.5
Alagoas,Estado,94.68,62.05,31.03,18.2,17.2,16.0,17.0,15.2,17.0,16.6
Amapá,Estado,54.31,36.35,16.16,26.8,28.0,25.7,27.5,24.8,27.1,23.5
Amazonas,Estado,61.49,46.34,18.22,22.4,22.2,21.7,21.5,18.7,20.2,21.4
Bahia,Estado,90.74,53.38,23.49,20.5,19.2,18.9,18.9,17.5,18.0,18.4
Ceará,Estado,82.7,53.39,20.76,16.8,17.0,15.6,15.7,14.7,13.7,14.6
Distrito Federal,Estado,31.75,24.04,15.85,11.9,12.8,11.5,10.3,10.7,12.0,12.2
Espírito Santo,Estado,40.6,27.35,16.33,14.2,12.6,12.4,12.6,11.4,13.3,13.5
Goiás,Estado,34.75,28.22,16.28,17.8,15.8,16.3,16.8,14.1,15.1,15.6
Maranhão,Estado,106.43,60.12,30.61,19.1,20.3,19.2,19.3,18.7,18.2,19.6
Mato Grosso,Estado,37.41,30.55,20.28,21.2,18.6,17.8,18.3,16.8,16.5,18.5
Mato Grosso do Sul,Estado,40.72,29.94,21.47,15.9,12.6,13.6,13.1,12.8,12.6,15.1
Minas Gerais,Estado,46.23,30.37,17.3,16.1,15.4,14.4,15.1,13.1,13.1,13.9
Paraná,Estado,44.49,23.53,15.07,12.4,11.8,12.2,12.2,10.7,10.9,12.5
Paraíba,Estado,96.98,55.6,23.42,17.9,17.6,15.8,17.5,16.2,16.4,19.2
Pará,Estado,64.44,35.6,21.87,22.0,19.9,18.9,19.3,19.0,18.3,18.6
Pernambuco,Estado,81.37,54.6,22.03,18.3,15.7,15.4,15.0,13.7,14.4,15.8
Piauí,Estado,84.8,53.92,24.98,22.3,21.1,20.6,20.0,18.5,17.8,20.1
Rio Grande do Norte,Estado,89.1,56.01,21.21,18.0,16.8,16.1,16.7,14.7,15.5,15.0
Rio Grande do Sul,Estado,26.37,19.44,14.29,11.8,11.9,11.4,12.1,9.8,11.5,12.2
Rio de Janeiro,Estado,34.36,23.07,16.33,15.8,14.4,14.7,15.3,14.3,14.6,15.7
Rondônia,Estado,54.06,36.35,19.34,17.2,16.3,15.6,14.8,15.7,15.3,17.0
Roraima,Estado,63.11,33.7,17.23,25.8,23.3,25.1,23.4,23.0,26.2,25.1
Santa Catarina,Estado,28.56,19.37,13.38,10.3,11.4,10.8,10.9,10.5,10.5,11.5
Sergipe,Estado,85.11,54.6,24.04,19.9,19.2,19.4,19.7,18.1,16.5,20.7
São Paulo,Estado,30.86,22.49,15.85,12.8,12.5,12.4,12.8,11.1,11.9,13.3
Tocantins,Estado,83.26,46.98,21.05,19.1,17.8,18.3,16.9,15.5,17.8,16.7
Centro-Oeste,Região,35.945432865525724,28.287924720559456,17.96655905366425,17.1,15.3,15.3,15.4,14.0,14.5,15.7
Nordeste,Região,89.84018933346357,55.28584408263402,24.106388678979716,19.0,18.2,17.4,17.5,16.3,16.4,17.5
Norte,Região,63.47226768115225,38.95843481217023,20.516868039745184,21.7,20.4,19.9,19.9,18.9,19.5,19.7
Sudeste,Região,35.83700416482288,24.76194219123049,16.320398932621597,14.2,13.5,13.3,13.8,12.2,12.8,13.9
Sul,Região,33.740939731927476,20.9815287140764,14.379820307051807,11.7,11.7,11.6,11.8,10.4,11.0,12.1
